ID_Influencer;Account;Title;Link;Followers;Authentic engagement;Engagement avg
543;premierleague;Premier League;https://www.instagram.com/premierleague/;53700000.0;73800.0;105300.0
544;shreyaghoshal;shreyaghoshal;https://www.instagram.com/shreyaghoshal/;23400000.0;216900.0;241100.0
545;angelrai07;Angel Rai :);https://www.instagram.com/angelrai07/;11000000.0;423200.0;510100.0
546;celestebarber;Celeste Barber;https://www.instagram.com/celestebarber/;8800000.0;602900.0;650700.0
547;vanessamorgan;Vanessa Morgan;https://www.instagram.com/vanessamorgan/;9400000.0;419500.0;596500.0
548;channingtatum;Channing Tatum;https://www.instagram.com/channingtatum/;16900000.0;227600.0;328900.0
549;burcuozberk;Burcu O?zberk;https://www.instagram.com/burcuozberk/;8800000.0;495800.0;641700.0
550;joerogan;Joe Rogan;https://www.instagram.com/joerogan/;14500000.0;275800.0;385400.0
551;kevindebruyne;Kevin De Bruyne;https://www.instagram.com/kevindebruyne/;16200000.0;216600.0;335400.0
552;d_a___m_i;KIM DA MI;https://www.instagram.com/d_a___m_i/;4099999.9999999995;1100000.0;1300000.0
553;_shotaroo_;SHOTARO ??????;https://www.instagram.com/_shotaroo_/;4600000.0;912000.0;1200000.0
554;f1;FORMULA 1®;https://www.instagram.com/f1/;17100000.0;248000.0;314400.0
555;candiceking;Candice King;https://www.instagram.com/candiceking/;9700000.0;403600.0;561900.0
556;asabopp;Asa Butterfield;https://www.instagram.com/asabopp/;5800000.0;639400.0;935200.0
557;mo.on_air;TAEIL;https://www.instagram.com/mo.on_air/;4000000.0;1100000.0;1400000.0
558;litkillah;MAWZ??;https://www.instagram.com/litkillah/;6700000.0;614200.0;810400.0
559;ansufati;Ansu Fati;https://www.instagram.com/ansufati/;7800000.0;455300.0;690600.0
560;evcenf;Fahriye Evcen O?zc?ivit;https://www.instagram.com/evcenf/;12600000.0;337000.0;424500.0
561;paulwalker;Paul Walker;https://www.instagram.com/paulwalker/;14400000.0;266000.0;364000.0
562;quavohuncho;QuavoHuncho;https://www.instagram.com/quavohuncho/;20700000.0;154200.0;254400.0
563;jaimelorentelo;El chaval;https://www.instagram.com/jaimelorentelo/;14600000.0;268700.0;359400.0
564;iscoalarcon;Isco Alarcon Suarez;https://www.instagram.com/iscoalarcon/;22900000.0;159200.0;229800.0
565;cvillaloboss;CARMEN VILLALOBOS;https://www.instagram.com/cvillaloboss/;18400000.0;231200.0;284500.0
566;austinmcbroom;Austin McBroom;https://www.instagram.com/austinmcbroom/;6500000.0;580400.0;817200.0
567;vegetta777;?? Samuel De Luque ??;https://www.instagram.com/vegetta777/;5700000.0;684300.0;934600.0
568;adamsandler;Adam Sandler;https://www.instagram.com/adamsandler/;12000000.0;340600.0;433500.0
569;araikgalstyanmoscowschool;?????  ????????®?;https://www.instagram.com/araikgalstyanmoscowschool/;12600000.0;319800.0;413000.0
570;obj;Odell Beckham Jr;https://www.instagram.com/obj/;15200000.0;179300.0;342500.0
571;apple;apple;https://www.instagram.com/apple/;27200000.0;141800.0;189800.0
572;nobrutv;Bruno Goes ??;https://www.instagram.com/nobrutv/;13200000.0;286100.0;392500.0
573;larissamanoela;Larissa Manoela;https://www.instagram.com/larissamanoela/;43600000.0;71100.0;117900.0
574;indiancricketteam;Team India;https://www.instagram.com/indiancricketteam/;22800000.0;191800.0;223200.0
575;k.kbeom;?????? kimbum;https://www.instagram.com/k.kbeom/;4800000.0;880600.0;1100000.0
576;nehasharmaofficial;Neha Sharma ??;https://www.instagram.com/nehasharmaofficial/;13600000.0;327000.0;375600.0
577;raffinagita1717;Raffi Ahmad and Nagita Slavina;https://www.instagram.com/raffinagita1717/;59300000.0;57000.0;86000.0
578;wizkhalifa;Wiz Khalifa;https://www.instagram.com/wizkhalifa/;35100000.0;103100.0;145400.0
579;alok;Alok;https://www.instagram.com/alok/;26700000.0;148500.0;191100.0
580;geewonii;???;https://www.instagram.com/geewonii/;6900000.0;562700.0;740800.0
581;dylansprouse;Dylan Sprouse;https://www.instagram.com/dylansprouse/;9300000.0;348000.0;546300.0
582;navidmohammadzadeh;navid mohammadzadeh;https://www.instagram.com/navidmohammadzadeh/;8000000.0;451500.0;637600.0
583;teyanataylor;Jimmy Neutch- Shumpert;https://www.instagram.com/teyanataylor/;14400000.0;205100.0;347900.0
584;fcbayern;FC Bayern;https://www.instagram.com/fcbayern/;30900000.0;109700.0;161500.0
585;markiplier;Markiplier;https://www.instagram.com/markiplier/;9700000.0;459700.0;524000.0
586;yugyeom;KYUM;https://www.instagram.com/yugyeom/;10700000.0;362800.0;471100.0
587;sportscenter;SportsCenter;https://www.instagram.com/sportscenter/;28400000.0;97100.0;174300.0
588;lucyhale;Lucy Hale;https://www.instagram.com/lucyhale/;24300000.0;153800.0;203300.0
589;lilhuddy;Chase Hudson;https://www.instagram.com/lilhuddy/;12100000.0;274700.0;408800.0
590;aleoliveiracm;Ale? Oliveira;https://www.instagram.com/aleoliveiracm/;8199999.999999999;248700.0;634900.0
591;nikitadragun;Nikita;https://www.instagram.com/nikitadragun/;9100000.0;358500.0;548400.0
592;aliiiiiiiikarimi8;Ali Karimi;https://www.instagram.com/aliiiiiiiikarimi8/;9000000.0;370200.0;557400.0
593;tamannaahspeaks;Tamannaah Bhatia;https://www.instagram.com/tamannaahspeaks/;15500000.0;270100.0;314700.0
594;sadiomaneofficiel;Sadio Mane;https://www.instagram.com/sadiomaneofficiel/;9300000.0;369000.0;525900.0
595;thenewclassic;Iggy Azalea;https://www.instagram.com/thenewclassic/;15700000.0;190400.0;307500.0
596;beautifuldestinations;BEAUTIFUL DESTINATIONS;https://www.instagram.com/beautifuldestinations/;23000000.0;156000.0;208700.0
597;wesleysafadao;Wesley Safada?o;https://www.instagram.com/wesleysafadao/;36100000.0;81800.0;133700.0
598;nickjonas;Nick Jonas;https://www.instagram.com/nickjonas/;32200000.000000004;104500.0;147400.0
599;saipallavi.senthamarai;Sai Pallavi;https://www.instagram.com/saipallavi.senthamarai/;5200000.0;815600.0;935000.0
600;alishalehmann7;Alisha Lehmann;https://www.instagram.com/alishalehmann7/;6300000.0;407300.0;768900.0
601;wizkidayo;BIG WIZ??;https://www.instagram.com/wizkidayo/;13900000.0;181500.0;350600.0
602;lizakoshy;Liza Koshy;https://www.instagram.com/lizakoshy/;19600000.0;180900.0;241300.0
603;yaocabrera;Yao Cabrera;https://www.instagram.com/yaocabrera/;9900000.0;224000.0;486900.0
604;sincerooficial;Sincero Oficial;https://www.instagram.com/sincerooficial/;20700000.0;117000.0;227000.0
605;amandacerny;Amanda ??????????;https://www.instagram.com/amandacerny/;24200000.0;120900.0;193300.0
606;t22felton;Tom Felton;https://www.instagram.com/t22felton/;11900000.0;304400.0;394100.0
607;urstrulymahesh;Mahesh Babu;https://www.instagram.com/urstrulymahesh/;7800000.0;550000.0;605900.0
608;sofiaalcastro;?sofia castro;https://www.instagram.com/sofiaalcastro/;8400000.0;410700.0;559300.0
609;alvxaro;ALVARO;https://www.instagram.com/alvxaro/;8900000.0;214200.0;538900.0
610;giannis_an34;Giannis Antetokounmpo;https://www.instagram.com/giannis_an34/;11900000.0;244000.0;386100.0
611;therealstanlee;Stan Lee;https://www.instagram.com/therealstanlee/;12100000.0;281200.0;379200.0
612;hadise;Hadise;https://www.instagram.com/hadise/;13500000.0;290900.0;339400.0
613;irinashayk;irinashayk;https://www.instagram.com/irinashayk/;17600000.0;188100.0;260200.0
614;naileadevora;nai;https://www.instagram.com/naileadevora/;4800000.0;657400.0;971900.0
615;jeremyrenner;Jeremy Renner;https://www.instagram.com/jeremyrenner/;17000000.0;224200.0;268000.0
616;aidanrgallagher;Aidan R Gallagher;https://www.instagram.com/aidanrgallagher/;7200000.0;535900.0;646700.0
617;barbieferreira;barbie ferreira;https://www.instagram.com/barbieferreira/;4200000.0;600100.0;1100000.0
618;cazzu;? ???????? ??????;https://www.instagram.com/cazzu/;9700000.0;367800.0;471300.0
619;abdevilliers17;AB de Villiers;https://www.instagram.com/abdevilliers17/;16700000.0;233800.0;269700.0
620;rafaeluccman;Rafael Uccman;https://www.instagram.com/rafaeluccman/;8500000.0;271700.0;560000.0
621;larray;larri;https://www.instagram.com/larray/;6700000.0;467200.0;682000.0
622;attahalilintar;Atta Halilintar;https://www.instagram.com/attahalilintar/;22200000.0;147800.0;202100.0
623;melo;LaMelo Ball;https://www.instagram.com/melo/;8000000.0;278700.0;567100.0
624;actorprabhas;Prabhas;https://www.instagram.com/actorprabhas/;7800000.0;514900.0;576700.0
625;ashleybenson;Ashley Benson;https://www.instagram.com/ashleybenson/;22200000.0;141000.0;199600.0
626;amadorat;N I C O L E   A M A D O;https://www.instagram.com/amadorat/;7900000.0;507400.0;567400.0
627;auba;Pierre-Emerick Aubameyang;https://www.instagram.com/auba/;10800000.0;259800.0;414100.0
628;tiffanyyoungofficial;tiffany young;https://www.instagram.com/tiffanyyoungofficial/;11400000.0;312300.0;390200.0
629;geneliad;Genelia Deshmukh;https://www.instagram.com/geneliad/;9200000.0;391600.0;485400.0
630;xsqueezie;;https://www.instagram.com/xsqueezie/;7600000.0;507100.0;593000.0
631;d_degeaofficial;David De Gea;https://www.instagram.com/d_degeaofficial/;12600000.0;247100.0;349600.0
632;trueno;TR1 ?;https://www.instagram.com/trueno/;6700000.0;429900.0;668900.0
633;dean.schneider;Dean Schneider;https://www.instagram.com/dean.schneider/;10000000.0;343800.0;440200.0
634;bypamella;BY PAMELLA ???;https://www.instagram.com/bypamella/;9300000.0;280500.0;480400.0
635;angeliqueboyer;Angelique Boyer;https://www.instagram.com/angeliqueboyer/;13900000.0;252400.0;316400.0
636;zoeisabellakravitz;Zoe? Kravitz;https://www.instagram.com/zoeisabellakravitz/;6600000.0;443900.0;674500.0
637;loreimprota;Lorena Improta ??;https://www.instagram.com/loreimprota/;12400000.0;152400.0;353000.0
638;riyadmahrez26.7;RM26;https://www.instagram.com/riyadmahrez26.7/;8199999.999999999;419200.0;539900.0
639;redvelvet.smtown;Red Velvet Official;https://www.instagram.com/redvelvet.smtown/;11100000.0;323500.0;393300.0
640;noahbeck;Noah Beck;https://www.instagram.com/noahbeck/;9000000.0;298300.0;491500.0
641;djsnake;djsnake;https://www.instagram.com/djsnake/;9100000.0;409800.0;486800.0
642;sureshraina3;Suresh Raina;https://www.instagram.com/sureshraina3/;18600000.0;206100.0;233000.0
643;blythe;Andrea Brillantes;https://www.instagram.com/blythe/;13300000.0;285300.0;325700.0
644;karinakross;?????? ?????????;https://www.instagram.com/karinakross/;10700000.0;329000.0;402700.0
645;vanessahudgens;??Vanessa Hudgens??;https://www.instagram.com/vanessahudgens/;44300000.0;59400.0;97700.0
646;ederbez;Eugenio Derbez;https://www.instagram.com/ederbez/;17800000.0;215900.0;242500.0
647;hztttao;Z.TAO?????;https://www.instagram.com/hztttao/;11200000.0;346300.0;384700.0
648;anjimaxuofficially;Anjali Arora;https://www.instagram.com/anjimaxuofficially/;10400000.0;326600.0;416600.0
649;elcinsangu;Elc?in Sangu;https://www.instagram.com/elcinsangu/;8199999.999999999;442800.0;533300.0
650;avicii;Avicii;https://www.instagram.com/avicii/;6900000.0;436400.0;640900.0
651;bumkeyk;SHINee KEY;https://www.instagram.com/bumkeyk/;8900000.0;409700.0;490700.0
652;angela_aguilar_;A?ngela Aguilar ????;https://www.instagram.com/angela_aguilar_/;7800000.0;457400.0;554500.0
653;riteishd;Riteish Deshmukh;https://www.instagram.com/riteishd/;13300000.0;273500.0;319400.0
654;louisvuitton;Louis Vuitton;https://www.instagram.com/louisvuitton/;47300000.0;67000.0;88700.0
